type,dist,longitude,latitude
A1,香山區,120.937206,24.800548
A1,北區,120.969152,24.805852
A1,北區,120.975391,24.821754
A1,香山區,120.934367,24.790406
A1,北區,120.955513,24.804773
A1,香山區,120.933196,24.798456
A1,香山區,120.935694,24.802703
A1,東區,120.974677,24.812974
A1,東區,120.97219,24.796981
A1,北區,120.940715,24.835658
A1,北區,120.963765,24.807062
A1,香山區,120.919074,24.721407
A1,東區,120.990304,24.81326
A1,東區,120.988921,24.815498
A1,香山區,120.952599,24.772718
A1,東區,120.975314,24.804342
A1,北區,120.941728,24.83672
A1,香山區,120.954059,24.77668
A1,香山區,120.953998,24.75467
A1,香山區,120.9211,24.780856
A1,東區,120.965172,24.802564
A1,香山區,120.945556,24.793806
A1,香山區,120.906264,24.746104
A1,東區,120.977674,24.796726
A1,北區,120.969935,24.81096
A1,東區,120.976884,24.815463
A1,北區,120.927556,24.827533
A1,北區,120.961403,24.800156
A1,東區,120.994267,24.798568
A1,東區,121.003029,24.792143
A1,東區,120.971147,24.804202
A1,東區,121.018953,24.761171
A1,東區,120.975062,24.796379
A1,香山區,120.916932,24.74437
A2,東區,120.965928,24.812959
A2,東區,121.02497,24.778757
A2,東區,121.025051,24.776328
A2,東區,120.967585,24.804178
A2,東區,120.982237,24.80274
A2,北區,120.948789,24.834577
A2,東區,120.981222,24.804342
A2,東區,120.987859,24.803671
A2,東區,120.980591,24.803832
A2,東區,120.992227,24.81476
A2,東區,120.978136,24.798281
A2,東區,120.954457,24.828814
A2,北區,120.961215,24.820061
A2,東區,120.969046,24.804136
A2,北區,120.974255,24.813875
A2,東區,120.97393,24.803351
A2,香山區,120.973854,24.791659
A2,香山區,120.952263,24.799457
A2,東區,121.019085,24.768251
A2,東區,121.002833,24.800712
A2,東區,120.973491,24.803189
A2,北區,120.957004,24.794597
A2,東區,121.02044,24.782615
A2,東區,120.964342,24.800556
A2,東區,120.996646,24.783281
A2,東區,120.971993,24.796693
A2,北區,120.965732,24.812448
A2,東區,120.964839,24.799376
A2,東區,120.97422,24.814117
A2,東區,120.972709,24.80291
A2,東區,121.016713,24.783866
A2,東區,120.987718,24.776992
A2,東區,120.986671,24.804706
A2,香山區,120.92644,24.791141
A2,東區,120.981257,24.799843
A2,東區,120.991911,24.784891
A2,北區,120.967601,24.810028
A2,東區,120.96047,24.801368
A2,東區,121.005624,24.771254
A2,北區,120.957342,24.816485
A2,東區,120.995424,24.80206
A2,東區,121.01068,24.769562
A2,北區,120.94859,24.805105
A2,東區,120.971859,24.802166
A2,香山區,120.941754,24.798375
A2,東區,121.006415,24.780584
A2,東區,120.97258,24.813991
A2,北區,120.975542,24.816982
A2,東區,121.009638,24.787559
A2,東區,120.974833,24.804144
A2,東區,121.020581,24.787918
A2,北區,120.952232,24.805935
A2,香山區,120.953582,24.774608
A2,東區,120.998394,24.796854
A2,東區,120.993406,24.816012
A2,東區,120.964362,24.799389
A2,北區,120.975131,24.817406
A2,東區,120.957612,24.799715
A2,北區,120.957877,24.796813
A2,東區,121.017509,24.767861
A2,北區,120.961089,24.807815
A2,北區,120.973622,24.823041
A2,北區,120.93874,24.839562
A2,東區,120.982229,24.819472
A2,東區,120.984168,24.778208
A2,東區,121.012661,24.785162
A2,東區,120.976259,24.79097
A2,香山區,120.940408,24.777795
A2,東區,120.967878,24.809643
A2,東區,120.995865,24.819182
A2,北區,120.955371,24.804507
A2,東區,120.977589,24.809422
A2,北區,120.961456,24.805483
A2,東區,120.972088,24.799872
A2,香山區,120.943926,24.776104
A2,東區,120.982631,24.778418
A2,東區,120.979151,24.807356
A2,北區,120.96041,24.803278
A2,香山區,120.967371,24.776953
A2,東區,120.965181,24.802554
A2,東區,120.965959,24.797537
A2,東區,120.976909,24.808728
A2,北區,120.968593,24.806483
A2,東區,121.018763,24.78276
A2,東區,120.965184,24.79479
A2,東區,121.025031,24.778625
A2,東區,121.006695,24.780558
A2,東區,120.975035,24.804321
A2,東區,120.977637,24.808066
A2,東區,120.987604,24.800925
A2,北區,120.967482,24.816797
A2,東區,120.97561,24.817244
A2,東區,121.016477,24.786214
A2,北區,120.964171,24.806332
A2,東區,120.996025,24.820331
A2,北區,120.93811,24.839834
A2,北區,120.964341,24.800555
A2,東區,121.018789,24.775323
A2,東區,120.984261,24.808702
A2,東區,121.000231,24.79433
A2,香山區,120.966208,24.772709
A2,北區,120.961772,24.815366
A2,東區,120.974835,24.796157
A2,北區,120.967734,24.807717
A2,東區,120.971714,24.795466
A2,北區,120.958001,24.796825
A2,香山區,120.953763,24.800345
A2,東區,120.974249,24.803633
A2,東區,120.967394,24.787424
A2,東區,120.986409,24.810889
A2,北區,120.957929,24.810481
A2,香山區,120.953928,24.795843
